INDV	Het_R	Population	Colour
SP159	0.216373476053552	SE_Asia	#FF0000
SP160	0.210135300307163	SE_Asia	#FF0000
SP161	0.242369702592609	SE_Asia	#FF0000
SP162	0.231203351649955	SE_Asia	#FF0000
SP163	0.228646566609111	SE_Asia	#FF0000
SP165	0.254272422494449	SE_Asia	#FF0000
SP167	0.224742213103834	SE_Asia	#FF0000
SP168	0.242443845462713	SE_Asia	#FF0000
SP170	0.235093447436732	SE_Asia	#FF0000
SP171	0.238411872025981	SE_Asia	#FF0000
SP172	0.231456789337239	SE_Asia	#FF0000
SP177	0.12355158173289	India	#39B54A
SP178	0.230392722861697	SE_Asia	#FF0000
SP179	0.225212297087035	SE_Asia	#FF0000
SP180	0.229305070974526	SE_Asia	#FF0000
SP181	0.22922854374859	SE_Asia	#FF0000
SP182	0.22612063488688	SE_Asia	#FF0000
SP183	0.233496885501952	SE_Asia	#FF0000
SP184	0.192739436338729	SE_Asia	#FF0000
SP185	0.232175478436138	SE_Asia	#FF0000
SP186	0.245889901432025	SE_Asia	#FF0000
SP187	0.249142261246129	SE_Asia	#FF0000
SP188	0.220721349297164	SE_Asia	#FF0000
SP189	0.0771678895226022	America	#F7931E
SP190	0.165846728613597	Europe	#0000FF
SP191	0.20722428146482	SE_Asia	#FF0000
SP192	0.153385014573683	Europe	#0000FF
SP193	0.160015625979124	Europe	#0000FF
SP194	0.158837156944113	Europe	#0000FF
